IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
82.39.250.7,443,TRUE,LHR,GB,England,,,AS249
82.39.250.126,443,TRUE,LHR,GB,England,,,AS249
82.39.250.143,443,TRUE,LHR,GB,England,,,AS249
82.39.250.180,443,TRUE,LHR,GB,England,,,AS249
216.23.84.29,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.84.34,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.84.65,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.84.90,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.84.115,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.84.129,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.85.117,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.85.158,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.86.164,8443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.86.183,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.86.183,2053,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.87.42,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.87.50,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.87.93,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.87.155,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.87.170,443,TRUE,NRT,JP,Tokyo,,,AS203090
216.23.93.26,8443,TRUE,NRT,JP,Tokyo,,,AS2516
216.23.93.27,443,TRUE,HKG,HK,,,,AS42960
216.23.93.131,443,TRUE,HKG,HK,,,,AS42960
216.23.94.49,443,TRUE,HKG,HK,,,,AS42960
216.23.94.81,443,TRUE,HKG,HK,,,,AS42960
216.23.94.125,443,TRUE,HKG,HK,,,,AS42960
216.23.94.147,443,TRUE,HKG,HK,,,,AS42960
